"범죄별(1)",범죄별(2),범죄별(3),2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
"범죄별(1)",범죄별(2),범죄별(3),1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
"형법범",재산범죄,소계,51075,44165,53869,51321,55008,53609,56649,54485,52786,51275,46261,46616,54479,45098,54148,52057,55768,53957,54184,53672,50387,51962,46854,49560,48628,41378,49414,47384,50209,49927,51551,49723,47736,47957,44456,45082,46550,39564,46069,44661,47080,47212,47842,47656,45777,45226,42179,42520,48329,40209,49093,47864,50296,49457,52202,51417,48998,47189,46537,45346,51988,43354,54274,52721,56606,54094,55297,55687,52544,54046,49827,46992,54264,51314,59656,56671,58842,56683,55737,53235,52029,54397,53063,53167,49205,42409,52426,48788,47698,49578,49201,46464,46917,47937,48208,46501,47842,42948,53155,55177,57979,55413,56926,56187,53640,54632,51481,49484,50307,50646,59654,55397,58074,58556,58401,58797,56378,57569,54408,51116,61264,52438,64643,64312,63865,62284,62553,63441,60496,67292,64271,59935
"형법범",재산범죄,절도,21299,19044,22751,22059,24550,24278,25363,24259,23934,22012,18947,18288,19405,18486,21309,21530,23694,22311,22946,22874,20757,19816,16311,16985,15502,14689,16644,16901,18315,18189,18782,18449,17817,17623,15294,15368,14465,12829,15376,15402,17096,17061,16760,16698,16664,15851,13494,12659,13280,12504,14733,14781,15988,15744,16140,16327,16091,15122,13568,13180,14492,13303,15910,15305,17333,16937,16777,17128,16487,16487,14420,13050,14875,13765,15330,15030,16025,15286,15407,14647,14864,15859,14816,14163,11393,11823,14260,15064,14768,15814,15507,14868,14651,14562,12852,11220,11847,11221,14482,16589,17685,16801,16712,15993,16930,16554,14808,13098,13003,13582,16689,16577,16889,16754,16909,16570,16816,17402,15367,13384,13542,13131,15419,16538,16939,16601,15532,15645,15631,16873,15009,13295
"형법범",재산범죄,장물,337,348,422,454,286,313,302,257,255,273,201,220,313,300,420,427,379,350,333,404,430,429,234,244,195,238,198,192,211,156,178,127,143,162,125,161,211,186,162,167,170,134,126,169,154,133,128,194,111,93,107,86,97,67,82,54,73,44,80,71,68,93,90,90,100,95,93,48,66,69,45,68,47,75,64,61,72,47,46,38,36,45,40,45,22,23,32,28,27,23,19,20,17,35,23,33,21,19,28,20,27,18,21,35,16,23,16,12,26,24,69,24,23,28,21,28,23,19,10,21,39,43,39,47,33,38,32,26,31,25,31,21
"형법범",재산범죄,사기,21117,17738,21614,20279,20808,20003,21830,21023,19515,20406,19382,20293,25638,18833,23404,20686,20982,20953,20617,20182,19005,21992,21618,23710,23156,18438,23139,20605,21050,21403,21752,20833,19372,20171,20015,20666,22208,18731,21351,19702,19621,19835,20407,20529,18776,19322,20120,21040,25318,19159,24509,23147,23584,23001,24990,24463,22073,21769,23829,22724,27620,21671,28432,27125,27766,25822,26644,26896,24459,26421,26138,24599,28793,28477,34559,31538,31585,30333,29274,27736,26950,27734,28164,29011,29525,22487,28426,24052,23015,23584,23733,22591,22563,23952,26544,27509,27219,24402,29361,28021,28534,27434,28703,29189,25436,27306,26610,27143,27391,28375,32063,28563,30151,30574,30503,31402,28670,29378,28976,28009,38529,30881,38860,37872,36439,35360,36695,37749,34598,40246,39384,36797
"형법범",재산범죄,횡령,3323,2643,3385,3202,3350,3294,3386,3314,3241,3328,3076,3104,3990,3145,3841,3952,4502,4404,4331,4395,4334,4258,3835,3808,4566,3475,4188,4206,4641,4470,4789,4564,4540,4543,4050,4037,4770,3580,4109,4270,4708,4635,4738,4571,4587,4596,4039,4007,4819,3972,4586,4661,5087,4978,5209,4948,5167,4941,4400,4404,4864,4109,4587,4893,5594,5260,5570,5515,5604,5535,4640,4648,5466,4351,4360,4580,5522,5392,5355,5222,4716,5362,5089,5124,3939,3741,4463,4374,4527,4751,4563,4149,4516,4574,4315,3676,4440,3630,4382,5116,5807,5724,5873,5557,5657,5349,5172,4647,5371,4627,5532,5354,5862,5920,5690,5594,5740,5826,5431,5371,5203,4749,6025,5443,5770,5600,5552,5393,5477,5686,5562,5545
"형법범",재산범죄,배임,641,500,691,430,443,430,456,400,407,440,439,542,726,439,537,506,437,458,477,382,395,446,490,550,791,387,517,459,519,452,471,401,408,454,429,469,620,369,474,408,440,440,437,394,372,393,404,486,656,403,471,414,451,453,632,434,486,531,398,459,678,360,524,478,509,491,562,432,497,528,468,469,592,358,457,441,410,418,435,395,414,418,411,429,447,336,385,380,380,378,353,286,322,322,314,379,452,311,361,377,392,347,381,301,356,361,358,347,463,302,566,340,350,439,363,390,340,329,332,380,483,338,557,376,381,423,419,373,357,359,378,383
"형법범",재산범죄,손괴,4358,3892,5006,4897,5571,5291,5312,5232,5434,4816,4216,4169,4407,3895,4637,4956,5774,5481,5480,5435,5466,5021,4366,4263,4418,4151,4728,5021,5473,5257,5579,5349,5456,5004,4543,4381,4276,3869,4597,4712,5045,5107,5374,5295,5224,4931,3994,4134,4145,4078,4687,4775,5089,5214,5149,5191,5108,4782,4262,4508,4266,3818,4731,4830,5304,5489,5651,5668,5431,5006,4116,4158,4491,4288,4886,5021,5228,5207,5220,5197,5049,4979,4543,4395,3879,3999,4860,4890,4981,5028,5026,4550,4848,4492,4160,3684,3863,3365,4541,5054,5534,5089,5236,5112,5245,5039,4517,4237,4053,3736,4735,4539,4799,4841,4915,4813,4789,4615,4292,3951,3468,3296,3743,4036,4303,4262,4323,4255,4402,4103,3907,3894
