연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
,,,,,,,,,,,,
2014,0,0,0,0,0,0,2.1,0.8,0,0,0,0
2015,0,0,0,0,0,0,2.4,1.9,0,0,0,0
2016,0,0,0,0,0,0,3.8,6.2,0,0,0,0
2017,0,0,0,0,0,0.1,5.8,4.2,0,0,0,0
2018,0,0,0,0,0,0,7.1,9.4,0,0,0,0
2019,0,0,0,0,0,0,4.4,5.3,0.5,0,0,0
2020,0,0,0,0,0,0,0.2,7.1,0.1,0,0,0
2021,0,0,0,0,0,0,3.8,1.6,0,0,0,0
2022,0,0,0,0,0,1.2,3.8,7.9,0.3,0,0,0
2023,0,0,0,0,0,0.1,2.6,5.4,0.1,0,0,0
2024,0,0,0,0,0,0.1,8.8,11.3,4.3,0,0,0
