"범죄별(1)",범죄별(2),범죄별(3),2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
"범죄별(1)",범죄별(2),범죄별(3),1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
"형법범",강력범죄(흉악),소계,2112,2027,2932,3267,3481,3301,3730,3643,3064,2610,2009,1950,2184,2021,3048,3185,3774,3665,3669,3690,3144,2753,2107,1899,2088,1967,2507,3043,3236,3255,3438,3320,3160,2721,2134,2094,2248,2189,2990,3155,3593,3768,3814,3848,3485,2793,2118,2029,2444,2312,3058,3123,3319,3436,3551,3401,3238,2733,2300,2357,2359,2103,2854,2983,3493,3443,3674,3547,3188,2833,2346,2243,2424,2279,2458,2572,3020,3178,3336,3164,2800,2696,2422,2463,2386,2279,2976,3049,3512,3869,3588,3148,2993,2708,2536,2082,3133,2590,3439,3723,4493,4222,4404,4152,4068,3608,3316,2779,3217,2852,3535,3522,3853,3822,3673,3723,3452,3356,3220,3062,2755,2630,3177,3236,3539,3626,3554,3726,3400,3123,2872,2833
"형법범",강력범죄(흉악),살인,95,54,85,96,98,67,84,70,89,75,64,61,87,70,71,82,96,96,79,95,84,74,65,59,74,50,94,97,78,81,95,83,87,69,68,72,68,62,71,77,77,83,79,81,74,62,60,64,75,67,68,72,67,60,84,82,71,62,57,84,56,56,67,55,82,70,94,84,77,65,72,69,77,66,64,68,70,51,58,69,83,59,73,67,65,52,61,47,80,52,60,60,52,51,60,52,60,47,68,58,66,66,66,72,65,53,59,58,55,53,62,67,79,66,74,93,77,76,53,46,75,58,61,70,74,64,59,77,86,59,59,64
"형법범",강력범죄(흉악),강도,136,122,181,166,144,128,132,139,130,137,91,112,122,146,146,118,122,147,125,134,116,98,103,95,130,96,99,99,101,90,107,73,122,108,72,84,81,88,87,78,95,92,83,78,74,91,75,68,76,81,77,84,74,74,60,62,67,63,55,68,90,79,73,85,67,65,72,63,59,58,53,81,59,69,97,68,67,46,58,50,46,43,42,47,53,35,40,48,40,49,55,48,37,36,37,33,40,55,48,40,47,43,43,48,63,40,36,29,40,61,54,46,51,51,47,60,42,53,50,44,44,43,46,41,49,41,30,44,30,27,42,37
"형법범",강력범죄(흉악),방화,139,134,158,161,161,130,173,116,147,147,103,138,136,155,183,128,162,141,119,126,155,141,97,103,130,149,123,118,146,108,96,138,115,127,113,114,148,102,133,113,114,135,80,109,120,109,96,99,143,135,148,135,127,110,98,102,130,107,118,125,129,107,114,138,131,101,111,104,106,114,91,99,92,110,125,120,95,99,100,82,86,92,90,119,92,112,94,91,92,77,72,62,86,87,86,74,103,104,128,110,118,100,87,85,97,99,98,95,98,101,152,104,112,110,75,69,97,77,96,98,88,84,100,81,97,88,59,76,97,92,78,71
"형법범",강력범죄(흉악),성폭력,1742,1717,2508,2844,3078,2976,3341,3318,2698,2251,1751,1639,1839,1650,2648,2857,3394,3281,3346,3335,2789,2440,1842,1642,1754,1672,2191,2729,2911,2976,3140,3026,2836,2417,1881,1824,1951,1937,2699,2887,3307,3458,3572,3580,3217,2531,1887,1798,2150,2029,2765,2832,3051,3192,3309,3155,2970,2501,2070,2080,2084,1861,2600,2705,3213,3207,3397,3296,2946,2596,2130,1994,2196,2034,2172,2316,2788,2982,3120,2963,2585,2502,2217,2230,2176,2080,2781,2863,3300,3691,3401,2978,2818,2534,2353,1923,2930,2384,3195,3515,4262,4013,4208,3947,3843,3416,3123,2597,3024,2637,3267,3305,3611,3595,3477,3501,3236,3150,3021,2874,2548,2445,2970,3044,3319,3433,3406,3529,3187,2945,2693,2661
